delta,theta,alpha,beta,gamma
0.0025841164995074536,0.0007407888922134289,0.0009803135106479237,0.0008555157236020622,0.00014921827475004222
0.0016610604736672962,0.0004770147996169341,0.0007780579732726897,0.0006423380355222304,0.00013133893075012405
0.0016964758365075154,0.0007183425680458229,0.0009971487746018575,0.0008681821664854467,0.00017617959854217602
0.0017576104740880773,0.00040170695977098474,0.000811874429426777,0.0008600215598615273,0.00013123391165455352
0.002006920378848567,0.00039726071185669894,0.0007760958054072432,0.0010190845581720892,0.00014017091813451235
0.003400185831079094,0.0008219458966521735,0.0009059649488283063,0.0019436524659710258,0.003408227803098594
0.007807331175737236,0.0015752947059996547,0.002143660897078016,0.005868751732963418,0.018706228340323233
0.00897174846741859,0.0018686037156519042,0.0012901845980500394,0.002476627084537879,0.0024249017891987273
0.014373773465545399,0.0047597440170640696,0.0031250345895277656,0.003884652065506212,0.0073552425088738525
0.00589798188851797,0.0009383663617829018,0.0005515038239990009,0.00044175344162427873,0.0003609947731178488
0.00384530697726511,0.0011950674240679895,0.0007161750513990018,0.00039706895510444474,0.00015386360408084997
0.0022951029509375464,0.0010594783691441562,0.0006552614115591633,0.0004269216685803944,0.00018123329282875182
0.002316948277514021,0.0007957867760591004,0.0005863024102871613,0.00045524703536911393,0.00016043957598441355
0.0034160897994455104,0.001233853790807643,0.0008138414996347963,0.0005651660723343484,0.00019248047871309702
0.0031544029513189092,0.0008391117338767796,0.0006408385302389047,0.00040747536882094896,0.00018134371688686564
0.0033679708131606543,0.0006909440024199966,0.0004269404861968857,0.000619417480980916,0.00016971080726852075
0.006271545884690549,0.0007039689700901291,0.0005708252474363883,0.0005424817957947023,0.0001855928867224737
0.005151103535903745,0.0010881480981105058,0.0010835146809982895,0.002031404887818939,0.0020891189868873375
0.007258944689952962,0.003818026848799178,0.0028988458868659333,0.01449345527076983,0.02662351304974326
0.004171591624800245,0.0015055260242389974,0.0011785103750273141,0.0022990195298275822,0.004064289992729267
0.003864083784125257,0.0011268317188455374,0.0009865218931813238,0.001169210778549336,0.0003787643744984807
0.0025037622163570066,0.0006328580216600249,0.0008645682077654917,0.0006381918961084659,0.0002422634957360266
0.002585348943427658,0.0006411212989288475,0.0006409549669675935,0.0006340841207484,0.00019750566944525726
0.0020674241152009477,0.0005488489332631528,0.0007051081647045746,0.0008175475319461427,0.0001860265292129358
0.0022789451955521145,0.0006939006947136448,0.0004327213564483256,0.0005647251689250754,0.00020064165015976575
