delta,theta,alpha,beta,gamma
0.0031863077557838224,0.0010135138187432563,0.0008692693823591147,0.0007065612415637342,0.00024371047266187945
0.002709225960012854,0.0007396277876737616,0.0006203966487442291,0.0007276936593759379,0.00020839465996028242
0.0018933108815472554,0.00048702714192570563,0.000660303273248465,0.0007475944124484675,0.00019121250688153296
0.0018730458244674503,0.00044314388241826114,0.00037370867946253126,0.0005636518352394183,0.00014387451938452345
0.002855178403819861,0.0012523202374964818,0.0006363880117613457,0.0007338140858608308,0.0001346883748694474
0.003728762741599951,0.000674630662168112,0.0006132750003019729,0.0007797015418231047,0.0001272780220394609
0.003245263881694277,0.0004994686821137449,0.00046529133737709447,0.0004917855782998688,0.00011912452216367477
0.004341258252814909,0.00099556357086978,0.0005599365256355234,0.0006038889526108654,0.0001252857790068174
0.005131074939877346,0.0006834211732232754,0.0008022806180246296,0.0013266599494475546,0.0004209933983086023
0.019979364909029185,0.005370739858006474,0.0013354593119193165,0.0021181986068941954,0.001346515051957103
0.010402902587873443,0.0021894747979626433,0.001044413843272497,0.0012363424411490369,0.0005860070101144962
0.003488001840756801,0.0013140552750578044,0.0006736305776012567,0.0007471337162031344,0.00029386930498338895
0.004587760055747553,0.0008289930622891446,0.0005836272403507386,0.0009264110183988324,0.0002571820229409245
0.002752766044628185,0.0004929178074423266,0.0004971882940883039,0.0010671343628526233,0.00046348891381223705
0.0024270520587082378,0.0004378231376490542,0.0006258869566011124,0.0008547587024890073,0.00019453304375099663
0.0028714327911777814,0.0007141181917074693,0.0007608300001503035,0.0008564310285091105,0.00020224824714432853
0.00338717575044585,0.0009247659503181419,0.0005343156939699153,0.0009154266274668423,0.00024719463073788375
0.0020747119320241804,0.0008490558120292716,0.0006817790188921247,0.000822824064166759,0.00023938872074749887
0.002821324270439227,0.0008516958277789432,0.000705071487931007,0.0016014184786544634,0.0003207591701800518
0.0015630013077923628,0.00046529134068215594,0.000652577643882779,0.0008239391955494139,0.00021810785442670744
0.0013715012605364848,0.0006026454281072882,0.0007788340739064256,0.000804158704848671,0.00018850143314783207
0.0024624366663739523,0.0006929879374031162,0.0005210423459169426,0.0008122224085476781,0.00017984471868507434
0.0021314611101029514,0.000574891368824603,0.0005617996507163841,0.0008247113427122634,0.00022859694195455005
0.001828517871177832,0.0006805935650115538,0.0008048409230686599,0.0008027694230486314,0.00020199543417649874
0.0023289002276276442,0.000618943780412746,0.0008452123870623303,0.0007275962711539683,0.00016802051655358802
0.0026614227020311247,0.0004907045785526845,0.0005719330496044132,0.0006066277641705449,0.0001962916427788715
0.0032547053086558362,0.0010898208009207024,0.0007343503288181619,0.0011962634358312948,0.00027822484614957286
0.0030521066572807634,0.0017112460751148265,0.002527054551689391,0.0014730674867442133,0.0003873531207712279
0.003150150576134639,0.00588992809171553,0.00518637433491149,0.002637395626984073,0.0006779522040027956
0.0037232728183068838,0.004484452348973034,0.005719798540824232,0.0016243767555642306,0.0005882955080296041
0.002271075711331093,0.004309899715210299,0.0031967670181088444,0.0018673961786281903,0.0004736222673545112
0.0013135919025005684,0.0016968698426643911,0.0011982167011300665,0.001185893110799212,0.0002418133881235954
0.001994115607019565,0.0008320597388079456,0.0012453558077211316,0.0008580873660955965,0.00018614709550202307
0.0026253399680327446,0.0007851960283095315,0.0007643820946203652,0.0008080417563031809,0.00016850123846924838
0.0021251224882013957,0.0008718489813376257,0.0010822213474659078,0.0009271557897775838,0.00022357985578937194
0.0015679256905850297,0.0005020471855670725,0.0007009215698325105,0.0008978493245976696,0.00020832019845917025
0.0014584133373421655,0.0010098432186944437,0.0008290127355915036,0.0010388928638239208,0.00014833730176153082
0.004666964000471898,0.002189777337277575,0.0007991777782114008,0.0010749433605123453,0.0004103373282337684
0.012773443140942572,0.006130085154115824,0.0011210476882065742,0.001734785127550064,0.001676994573342574
0.004034570992300134,0.0024496533069297347,0.0010728628024085634,0.0007141319135764085,0.0001476611078288125
0.002446651895447417,0.0018251837993886243,0.001041983373206759,0.0007742853983476862,0.0001373195416182599
0.003260860559191974,0.0028781028615665386,0.0010123998934412537,0.0008901006212568765,0.0001642608453025132
0.002770372573856581,0.0026222587124552503,0.0021918424203108034,0.0011404643019828516,0.00019229055191192812
0.00819887010125444,0.005695255881592149,0.003985961949776749,0.004703680087464963,0.006702974098144778
0.012781857858678074,0.006153662378183887,0.005036651990025946,0.00634531854381227,0.011870044493726733
0.0049555700819225385,0.0020780461428980485,0.002054935433528125,0.001962193427932799,0.0004660746994870869
0.006700732006304316,0.005197782712465353,0.001907518028273206,0.001881075844048492,0.0003364931424199313
0.003685384318687328,0.004819146237228622,0.002216499852551017,0.006270203465634895,0.010541142433061283
0.005716497831739383,0.0070194417948593445,0.003080616907309588,0.008842625011586445,0.020074574430290086
0.007413317950268426,0.01031522324820536,0.0029094240472024176,0.0016279381269071974,0.0007558262637641405
0.005899304745271727,0.003508615399732842,0.0023586273071846244,0.002014714620726533,0.0009561677669513043
0.0025813654259943973,0.002630364704393515,0.0019312190653991332,0.002102637602895452,0.004870328322107209
0.0033330598203382827,0.002115568851239322,0.0021877147168241767,0.0018525536640747557,0.001214009298619749
0.002822155004299765,0.002146511634421702,0.0018528564044542689,0.004101060381986815,0.008395043107688452
0.0055298224636868955,0.007277581117139138,0.0038545750752321632,0.005853463801661821,0.018786187153762793
0.009225257958907138,0.00952182327127201,0.0028371742702148865,0.001976305918411663,0.000956436654318478
0.005728948234541153,0.004715572587155612,0.0029188034445251994,0.001845848084510578,0.0003428407500516521
0.004614113620232813,0.006251243961770965,0.002577187280499893,0.002025960920813492,0.00028575782032585497
0.0070718316539951885,0.005719598801991395,0.0017343522740331469,0.001728069672661765,0.0002585390060342547
0.005644128566124397,0.0034312925358305066,0.0017716800755346277,0.0009655709871425249,0.0002147911136556741
0.002588585679764388,0.0034106762207842356,0.0017826584279208128,0.0011687347278056075,0.00019793798151881514
0.0032188253182082877,0.003143369799277397,0.0014835686437272666,0.0011822584736307044,0.00023929697409151178
0.002230159736801337,0.003159370781292495,0.0008277636421678918,0.0012226241793834038,0.0002599291709135856
0.005404485878481179,0.00255783688755684,0.000990903846268956,0.001190695969947793,0.00020392575894614699
0.0042781161012883165,0.0030858590133267002,0.0012362033552227015,0.0011808441773628357,0.00020119447538232937
0.002271614813586011,0.002225337780146746,0.0012282997368134264,0.0010850423126138264,0.00019319921458342665
0.0029882446357596083,0.00323317068920103,0.0011631074771995685,0.00123546937749941,0.0001454489076168905
0.003599281723422406,0.0021727938649988387,0.0011524771575820588,0.0012958819732230462,0.00019310265158342687
0.006034624291826917,0.0019715868625856604,0.0013258949375349596,0.001644896247922203,0.00024673294785326137
0.00551222457470274,0.0035884534705295113,0.0011726792880795318,0.0015319304476884205,0.00020364446525240545
0.0036072081379747347,0.0032439432947415966,0.001002162540668547,0.0017552382924982102,0.00020496190959870824
0.0019128950340717137,0.0019961327483220166,0.0008595372569670223,0.0008387702771836133,0.00018656216521796798
0.003639535112963917,0.0027502693740829184,0.0014732567167466716,0.0007650573295052531,0.00018477323923247357
0.003975432022723298,0.0023295915729375123,0.0011767808083051104,0.0010730667276341126,0.0001777754976187094
0.005874169342203167,0.0017450913746493014,0.0009098050238129809,0.0010909343086214617,0.00023572808819995539
0.005060403528891218,0.001581420869872182,0.001341106185274592,0.0011688040547794007,0.00026780420234817653
0.0022988806773771384,0.0009849568337961959,0.0007799646058161811,0.000947049804694454,0.00014992349287707059
0.0017826781756462612,0.0008664350065282636,0.0008410205558906121,0.0009008389699253898,0.0001456657159421228
0.002535506135468559,0.0008203357349753136,0.0008639327559116738,0.0010233293232323013,0.00015280333009890716
0.00197091014253647,0.0006731813921583025,0.0008161840231475553,0.0013604153883547856,0.0002141430651919548
0.002006559904700534,0.0007638085129393936,0.0007294547276227239,0.001010031142956057,0.00023173168397970205
0.001991782297657751,0.001106409749891637,0.0006865905327987559,0.000981161530690914,0.00017324035670134298
0.012213834587990387,0.003507602657969023,0.0009184028593094543,0.0018247871921452069,0.0007008062338542365
0.017039397307947745,0.005107326925823363,0.0014321010471044131,0.002104213543188093,0.0009130459075923917
