delta,theta,alpha,beta,gamma
0.005496207556071579,0.003307814086940498,0.0031428156257469276,0.002442503240164418,0.00038352329120796907
0.005427800556748,0.0030697390091437298,0.002361880443783049,0.002154193621983345,0.000363058000094116
0.003176415136797841,0.004055700474681263,0.0016725422081000363,0.0019325803348661233,0.0003267157176304388
0.004061744378976212,0.0023927973957061114,0.002048901264253397,0.001259557538124206,0.00029219067801024295
0.004939297210391765,0.0012781107270898341,0.0016137048388837972,0.0020197332174569107,0.0004379711682206268
0.005694005251742289,0.0011473704078659261,0.0013937136974971965,0.0017633622704311303,0.00038202758627228404
0.004476654829625962,0.0027707961564172254,0.0014349693040638292,0.0014459157375916252,0.0003713881974982942
0.0041373267874867,0.003600385349247321,0.002812414823520174,0.0023045006644139337,0.0004672843821467485
0.004824860098983573,0.0015921901155452952,0.0025532994204901134,0.0023625926697393588,0.00029238571114169136
0.0034177197270830093,0.0013477289011047339,0.0016033376227221996,0.0014604933686914135,0.00034836140656351993
0.0042519801080723625,0.0019747292082503923,0.001771317054685916,0.0016129079269601803,0.0003538798281997769
0.005044511649317134,0.00226120016881492,0.002330421935068566,0.0019810919371981493,0.00027140346556416727
0.0038952293174164413,0.0011855258898435142,0.001082057496873279,0.001523337448295927,0.0003422847670492827
0.00455315801443796,0.0013953739461317067,0.002086541422075994,0.0012355008092187279,0.0003448360352094711
0.005327425136673561,0.0021322302787693125,0.0011982875041443239,0.0012440106690830529,0.0003681018697313878
0.004668737553570329,0.002492386926676016,0.001317391871121764,0.0012991203211236936,0.0003089216041439089
0.006149854329051521,0.0011547104806229945,0.0016349063836138718,0.0014471237023762134,0.00036876157756207304
0.0065402769461387475,0.003379895001230338,0.002600705262657723,0.0017280925196976678,0.0003250617016261226
0.005792195106982764,0.0038904299042843843,0.004610208507156592,0.0014460163941351438,0.00043069738974332676
0.004258940824607109,0.0015813433558558077,0.0013319927750444745,0.0011550950088320253,0.0003028986950584962
0.0030607766552014962,0.0008165294974020506,0.0012506874028107796,0.0013044021078918965,0.0003567786271417524
0.0033628958335924627,0.0016843604717829046,0.0012028048059794295,0.0016152729060203415,0.00040650352361253897
0.012819130882553764,0.004769373390149505,0.002630408506320139,0.001685248102276694,0.0012852415032619238
0.022771227652798442,0.008339003266078946,0.002988612927281621,0.002557855524996311,0.004199803494763442
0.008885696572309388,0.0021889077348277927,0.0021276814032335782,0.0016720085955372725,0.0008020563631454388
0.007765749670156479,0.0017830930219113136,0.0011893358239270556,0.0015966260490479715,0.0005103951681308252
0.021155855851046793,0.005672547210485583,0.004203038104715857,0.0056363896549922856,0.010441989006007039
0.01590089098126479,0.0020504207964196423,0.00141943268124358,0.0021214460735422738,0.004306318392708103
0.010792238265118125,0.0015885102595366498,0.0012552562096571338,0.0014761755306736811,0.0004265443836656529
0.004716654553654966,0.001113880436366191,0.000688909193841916,0.0015483557435115058,0.0003841142339560015
0.003903816200888622,0.0010980215562431405,0.0011506995556736324,0.0012623903312315983,0.0008395694292525731
0.004925358942426887,0.0011382742577859413,0.0012285755520051458,0.0014142470657792815,0.00039742521545149423
0.006737492370464431,0.0018611773212486799,0.0009354938516001083,0.0013994322475687504,0.0003658353859286956
0.005439852666374211,0.0016855254710117606,0.000875513438386287,0.0014211411120912565,0.000382588033138303
0.0038983591986930088,0.00031629854094986516,0.000963146879696045,0.0009040897898227376,0.000290450314737519
0.005079459953454241,0.0010206992635258217,0.0007780762757229888,0.0007502715512118143,0.0002749965523777484
0.0045898809044656996,0.0012694822045532996,0.0007922658784516735,0.001193657144386038,0.00033351268904446716
0.0031851956589775067,0.0015676279778585177,0.0009503108243738311,0.001204961272954458,0.00028018548353557005
0.0076505300211215325,0.005313520742273228,0.006040022543465178,0.0030374849856577004,0.0004071475052645974
0.006244213486172585,0.0034193249835703806,0.002857217028533309,0.0019603461925420387,0.0003626021135583321
0.0027924283266166894,0.0021452853646557243,0.0014870293624375912,0.0008221674514757444,0.00041646096933922624
0.0033941416324463425,0.001555958080806559,0.0011017915592712304,0.0009211642819839002,0.0004531109056050564
0.0037432752852844093,0.0015726084304253222,0.0014588751549175103,0.0012439250118487888,0.0002976138534199673
0.005532626721091818,0.0008588824676395471,0.000744370197769674,0.001198656141287304,0.0002982132285841355
0.007791302380465254,0.0021724622025112573,0.0016022991207581528,0.0015710840865713592,0.00028136766264963105
0.005780094430259706,0.001219173420336949,0.0016893762943203665,0.001436917825778502,0.00029320292369656986
0.012164971657039616,0.006671213445442754,0.004708253234900463,0.005338772206990359,0.0035867852022269573
0.008158747094627085,0.002629316800129922,0.0019003707931236607,0.002116133554280936,0.0014449227185350676
0.0006360965253525079,4.6370399706539146e-05,1.718087985116621e-05,8.991635746010107e-06,4.262823837605214e-06
0.0001303260540371598,1.4148930292005946e-06,7.262448992194254e-07,4.389306623848167e-07,7.413621472964301e-07
0.0006659739726663672,3.315995133379599e-05,9.92439242649469e-06,4.843060569835131e-06,4.137311076289708e-06
0.0038292982914254195,0.0010808265582500573,0.00035310016326415753,0.0003503945319841862,0.00016393847614615557
0.031301413591726834,0.012498452859221795,0.009515188629649906,0.010701309076789612,0.00902674267553659
0.02270055459714146,0.006495238297340141,0.004652936279526882,0.005279696273687918,0.004839665507142386
0.0014249259064718712,0.00026295964919670876,5.5976406940509285e-05,0.00013367722738080837,0.00016145677998941857
0.0020309569661948555,0.0004998571456673478,0.0010702431948228259,0.0010855732332366102,0.00041637860493683014
0.0034936237761545377,0.0016348467353787541,0.0018923117348429782,0.0012198694819461557,0.0003793797101481698
0.0037549000437183534,0.00141363343142458,0.001487756917121608,0.0013323226568323695,0.0002704805062099495
0.006726762378975139,0.004951638050591118,0.003113293597224448,0.0019260513432284418,0.0009111564203987293
0.013853246774399868,0.007531455243063443,0.0023659922584375113,0.0027476985772972398,0.002161160312939884
0.005695925973919034,0.0011879536009562644,0.0012048993552444909,0.001048545013877978,0.00030631884973148
0.005868994136236475,0.001415997723229348,0.0008637267989796365,0.0014361497987202968,0.0002762017437565716
0.004252995586058112,0.0013525978049912918,0.001111013720558831,0.0012808282162868167,0.0004117771785539448
0.00432051122194882,0.0010191750249310058,0.0010783047441445702,0.0010791421899441754,0.00041006971788934936
0.00442705819220276,0.0016720844519238014,0.0009193803305156648,0.001077673285721743,0.00036642236882216534
0.005032291787667159,0.0014296964137871702,0.0009860241166428027,0.0008160602585138994,0.00028538605554472187
0.005195386341421974,0.0012227514244741455,0.0007303394244868093,0.0009624131507116996,0.00036553858911297254
0.003850147475546407,0.001053890175069985,0.0007775770698256325,0.0013246928167293247,0.0003870076398717272
0.004931497515869812,0.005098579075462777,0.013358682657945396,0.00751732158844383,0.015305711695359893
0.01091322688029148,0.003707777879276587,0.007782808991789517,0.00693804078605518,0.018676295426425432
0.0048298861869393245,0.0010658725822034994,0.0015172334731264633,0.0009754188505832101,0.0008933715364350616
0.0036077371394781363,0.000729629162115114,0.000832706047920568,0.0013341688856569971,0.0003694081989759589
0.004461001734832941,0.0018350014359447596,0.0013349758953926244,0.006184843295501842,0.016200891113240398
0.003694081492859714,0.0033220799825744063,0.0013110796847588947,0.005772288522034071,0.02140533118497078
0.003989271176408651,0.00213367752798385,0.0009970185935210987,0.0014111308479825592,0.0009269489832289785
0.004391896422074605,0.0015000511486214874,0.0011717325158139306,0.0011960654362864703,0.0003872965994562186
0.00426168104402137,0.0013509002160370198,0.001009252346646813,0.0012569374866226084,0.00029032110311413313
0.004192097425611248,0.001800311625160468,0.0016706344807292093,0.001424482353158406,0.0003147191855231513
0.012109469770415097,0.005689931290295181,0.00443858469544692,0.005505405236452356,0.0034475338291512676
0.014205796065633682,0.005642148420074408,0.004188936486413992,0.005172653708812831,0.0034410345138846518
0.0012078547933304527,0.0001511787194922607,5.793139218547217e-05,3.0636890376523496e-05,1.3962497598454358e-05
0.0007001960950130772,6.843146986804239e-06,1.9697949922385806e-06,9.591494227096878e-07,1.0061293844398207e-06
0.0004226242920081561,2.571657405516718e-05,9.942711775572981e-06,5.263924212574872e-06,2.107685832192442e-06
0.0019510349287086284,0.00038849450357632525,0.00042352511999724316,0.0004361457997056752,0.00010848761886261384
0.002964611598825742,0.0028567417028480956,0.007777499858698378,0.003744062711447142,0.0010675374756681526
0.003338068076138279,0.002071580522590734,0.006043994564308343,0.002508474702222856,0.0005154998886590587
0.004085650367721659,0.0023148319654361363,0.0022578096504043545,0.0011774482903622195,0.00035589394733304033
0.0061570112223055164,0.002327639097932625,0.0014859550046038446,0.0016768188661749294,0.0013586133612973985
0.009574803606279311,0.002708009319734735,0.001882108539316356,0.0024137949896475587,0.004511661936218615
0.005013249980172497,0.0014003030770630533,0.0012184725593762612,0.001292236333519119,0.00033380876377338823
0.01677294817735565,0.003244871437101694,0.00399884314562331,0.004758904536605662,0.007442229996197461
0.022169855927130142,0.004256554991319064,0.00471213332105651,0.007434986823709792,0.012702347992405381
0.02046927368647446,0.008231832539651833,0.0031640874373737578,0.005495217632615549,0.008477909067745214
0.015061350008803903,0.003779597578996044,0.0036050706799731847,0.008176094315638791,0.017531870651308856
0.0076292430321950044,0.0023718801607363915,0.0024792626624911096,0.002395502927376723,0.008309216368795433
0.011463846367877933,0.008759135900335523,0.007786386332231814,0.004458205117518623,0.01894160767926326
0.011974374306107843,0.0052429011849032345,0.0032235132501541803,0.002455932264804883,0.003444380337349811
0.011759396258037298,0.003851290848018296,0.0017869691184955018,0.002298860249255539,0.01247195462393396
0.005968759741695869,0.0013728457334304107,0.0007781614131270149,0.0011357658104781732,0.003380166816956332
0.006548170024307698,0.0017737511760809908,0.0013656837849021226,0.0011595732141362225,0.000454535137111647
0.006295847471027521,0.001931504581763875,0.0027351837199045266,0.001571080398043399,0.0012894382180874636
0.005389800495850067,0.0015937779876948083,0.002267263384877057,0.0016835125709798327,0.0016017431081365855
0.00542913399737403,0.0008714748613135111,0.0016280756156811607,0.0017934945495674576,0.0028805025323502893
