delta,theta,alpha,beta,gamma
0.005592481944133179,0.0021284462279645014,0.0020671434527506217,0.0021299465470986535,0.009304815572960614
0.006135719463592693,0.0014087568708319675,0.0008596904890671326,0.0014421718821413577,0.000365100737882591
0.00447778680996435,0.0013657374235485503,0.0011115419044706635,0.0012844741596664217,0.0004080720569101732
0.003931557225708306,0.0010074964886338347,0.0010483450200192003,0.0010780719521153138,0.00041242484549954114
0.0038427830728684246,0.0014568139379189063,0.0007994529387765387,0.001155658871759172,0.00034199735025959
0.004807772272692274,0.0014234715079586514,0.0009754174092574813,0.0008142020987145966,0.0002870481390278678
0.0051256619885814625,0.0011508502575452294,0.0007196288426672133,0.0009554874451437602,0.0003899491771563405
0.010242227655053041,0.0041903290791998156,0.0024905713692284152,0.012573179776231786,0.01923524788052222
0.009943057963759497,0.00233929639562867,0.002121541087405245,0.006367402463993251,0.012977060938305562
0.003956105256854081,0.0024610912637236934,0.001984447749282142,0.007779224369528052,0.019756049273617883
0.004197994983683079,0.002397355915506116,0.0010287474128312841,0.004362694397382133,0.014521675105590971
0.0034034624232928724,0.0015189185910091786,0.0010827127119541838,0.0012665095083620145,0.0006006024380933852
0.003907413057561414,0.0016477249150449384,0.0010992596148735937,0.0010979062111671017,0.0003237199831555502
0.004541032115758901,0.001312676605699421,0.0010153182296725148,0.0015701217969045192,0.00028987790059694935
0.003395503643805041,0.001706233703859911,0.001958526654948433,0.001441923377977616,0.00036208470855322123
0.01563209496638595,0.006596074968976481,0.004682801206150285,0.005891834967081578,0.003832547984980004
0.012267574098768606,0.004126167287658374,0.0028863393373030973,0.0033688448306707043,0.002259873592112081
0.0006814996187763535,0.00010394235828779323,3.9924278339187276e-05,2.1066979249725966e-05,8.52277227890799e-06
0.0008404124464815008,1.4389114096561847e-05,5.462339956127818e-06,3.013685687904296e-06,1.3759066740146943e-05
0.002601063146810968,0.0029056741812171485,0.0025615766469608884,0.008828070035554752,0.010708624154826978
0.002567321854372217,0.002138052559132669,0.0015872366346025507,0.006166432417752305,0.00786934446164126
0.0038487642523101755,0.0032501460949531692,0.0026737373424389407,0.010098745982454752,0.012918285400229415
0.010012971077931226,0.0035354698778847665,0.0014869880475795686,0.0074429084237913525,0.014377192709221828
0.004939118783869921,0.0013931768964118155,0.001096794099046517,0.0014904547080887706,0.008360522104272584
0.0075669603841174975,0.0017566927461640405,0.0009532288454915379,0.0010369409814150715,0.0005185414042915762
0.007119552412637479,0.0020614707156191283,0.0023322559322056327,0.001540369312662871,0.0005307139078787206
0.005673834490621648,0.002040534543910526,0.0028025643944556053,0.001761646688734319,0.0018787956949063136
0.0028243028144405735,0.002011826284672774,0.0017780263544118964,0.0021661033872443732,0.004721012622321553
0.006666119627635169,0.0024292631883507023,0.0010430506932645604,0.002169672363091135,0.00507104642272575
0.00578776785895823,0.0013561182656046796,0.001363502472210222,0.0017949797072164034,0.00043777373288006634
0.0041553611090964435,0.0009456872922793076,0.0009426359607216095,0.0013626487390934396,0.0003487598935454503
0.002618075798578842,0.0010386042980937821,0.00040052978996619955,0.0013183268320386438,0.0002932898080936918
0.00469092757952415,0.0013914235258626327,0.000771025023765618,0.0014624277041212358,0.0005582169287200319
0.00442224296872266,0.0009584344599983822,0.0008776401122476173,0.0012148446083292753,0.001102558533860192
0.0029420088479486205,0.001395053029585331,0.0009371320667089244,0.001185898830182038,0.0005119627834070478
0.0052230272532761655,0.0014758253297135803,0.0011523787740595388,0.001530114905478177,0.00030861828224446855
0.004876776569658789,0.0013888995443664231,0.0008493034068761924,0.0010657271895553454,0.001064806997996272
0.005444288640265674,0.0013430179578882077,0.0008990931957656516,0.0010517880611146772,0.0009786179535933377
0.005626313498792588,0.001198190577990701,0.0015108217331983986,0.0010903300588518527,0.0006980584377362132
0.00453684903709239,0.002183927306521975,0.0010802728747030112,0.001090839610264896,0.0004806246324482265
0.004059738143745183,0.00172452632832802,0.0008898515225949175,0.0012488316527527429,0.0003977607185758581
0.0046157349085688875,0.0012527903684195951,0.0009445602928641332,0.0014094023207512278,0.00039598429809488346
0.004739191249191075,0.0015933531908152929,0.0007556951201165513,0.0007909454436009607,0.00033785957223487285
0.0022653488456184268,0.0008151779090832553,0.0014632978915584552,0.0011092779785216431,0.0002361014182901338
0.0026590082018900854,0.001208181401684096,0.0012110218025086872,0.0014941859676460903,0.0011152608584901122
0.005086495934844182,0.0016397939607817851,0.0010291467286164338,0.0009822774982937352,0.0009536050062047158
0.004172424113539847,0.0006170925865950676,0.0008552342079451957,0.0011411854416551095,0.00026219030117037324
